T,0025CB03,12.14,12.50,1.52,12,1618571780.170,1,0.11,G0.53,S01-S02-S04-S05
T,0025CB03,12.01,12.63,1.52,12,1618571780.307,1,0.29,G0.53,S01-S02-S04-S05
T,0025CB03,12.06,12.67,1.52,12,1618571780.442,1,1.01,G0.53,S01-S02-S04-S05
T,0025CB03,12.04,12.64,1.52,12,1618571780.579,1,0.30,G0.53,S01-S02-S04-S05
T,0025CB03,12.01,12.62,1.52,12,1618571780.717,1,0.29,G0.53,S04-S05-S01-S02
T,0025C9EB,7.98,0.15,1.52,12,1618571780.811,1,0.08,G0.63,S01-S02-S04-S05
T,0025CB03,11.93,12.54,1.52,12,1618571780.851,1,0.81,G0.53,S01-S02-S04-S05
T,0025C9E6,13.18,0.03,1.52,12,1618571780.866,1,*,G0.82,S01-S02-S05
T,0025CB03,11.95,12.55,1.52,12,1618571780.989,1,0.80,G0.53,S05-S01-S02-S04
T,0025CAF6,1.37,0.02,1.52,12,1618571781.070,1,*,G1.36,S02-S04-S05
T,0025CB03,12.03,12.40,1.52,12,1618571781.125,1,0.43,G0.53,S01-S02-S04-S05
T,0025C9E6,13.18,0.03,1.52,12,1618571781.133,1,*,G0.82,S01-S02-S05
T,0025CB03,12.01,12.62,1.52,12,1618571781.259,1,0.29,G0.53,S01-S02-S04-S05
T,0025CB03,11.95,12.55,1.52,12,1618571781.397,1,0.80,G0.53,S01-S02-S04-S05
T,0025CB03,12.02,12.60,1.52,12,1618571781.532,1,0.26,G0.53,S01-S02-S04-S05
T,0025CB03,12.03,12.61,1.52,12,1618571781.670,1,0.26,G0.53,S02-S04-S05-S01
T,0025CB03,12.06,12.38,1.52,12,1618571781.805,1,0.39,G0.53,S01-S02-S04-S05
T,0025C9EB,8.18,0.76,1.52,12,1618571781.888,1,0.02,G0.60,S01-S02-S04-S05
T,0025C9E6,13.21,0.02,1.52,12,1618571781.933,1,*,G0.82,S01-S02-S05
T,0025CB03,12.17,12.50,1.52,12,1618571781.942,1,0.54,G0.53,S01-S02-S04-S05
T,0025CB03,12.03,12.61,1.52,12,1618571782.077,1,0.26,G0.53,S01-S02-S04-S05
T,0025C9EB,7.93,1.20,1.52,12,1618571782.157,1,0.40,G0.58,S01-S02-S04-S05
T,0025CB03,12.03,12.61,1.52,12,1618571782.214,1,0.26,G0.53,S04-S05-S01-S02
T,0025CAF6,1.40,0.03,1.52,12,1618571782.280,1,*,G1.36,S02-S04-S05
T,0025C9EB,8.06,1.80,1.52,12,1618571782.292,1,*,G0.80,S01-S02-S04
T,0025CB03,12.05,12.38,1.52,12,1618571782.349,1,0.39,G0.53,S01-S02-S04-S05
T,0025C9EB,7.41,1.23,1.52,12,1618571782.427,1,*,G1.36,S01-S04-S05
T,0025C9E6,13.36,0.06,1.52,12,1618571782.464,1,0.63,G0.65,S01-S02-S04-S05
T,0025CB03,12.17,12.50,1.52,12,1618571782.484,1,0.54,G0.53,S01-S02-S04-S05
T,0025C9EB,8.21,1.56,1.52,12,1618571782.562,1,*,G0.78,S01-S02-S05
T,0025CB03,12.06,12.39,1.52,12,1618571782.622,1,0.39,G0.53,S01-S02-S04-S05
T,0025C9E6,13.20,0.02,1.52,12,1618571782.732,1,*,G0.82,S01-S02-S05
T,0025CB03,12.05,12.38,1.52,12,1618571782.758,1,0.39,G0.53,S01-S02-S04-S05
T,0025C9E6,13.20,0.01,1.52,12,1618571782.864,1,*,G0.82,S01-S02-S05
T,0025CB03,12.03,12.61,1.52,12,1618571782.896,1,0.26,G0.53,S04-S05-S01-S02
T,0025CB03,12.02,12.61,1.52,12,1618571783.029,1,0.26,G0.53,S01-S02-S04-S05
T,0025C9EB,7.80,2.93,1.52,12,1618571783.098,1,0.29,G0.52,S01-S02-S04-S05
T,0025CB03,12.24,12.58,1.52,12,1618571783.167,1,0.14,G0.53,S01-S02-S04-S05
T,0025C9EB,7.89,2.94,1.52,12,1618571783.233,1,0.29,G0.52,S01-S02-S04-S05
T,0025C9E6,13.34,0.07,1.52,12,1618571783.265,1,0.63,G0.64,S01-S02-S04-S05
T,0025CB03,12.02,12.60,1.52,12,1618571783.302,1,0.26,G0.53,S01-S02-S04-S05
T,0025C9EB,7.43,2.85,1.52,12,1618571783.369,1,*,G1.14,S01-S04-S05
T,0025CB03,12.03,12.61,1.52,12,1618571783.440,1,0.26,G0.53,S01-S02-S04-S05
T,0025C9E6,13.24,0.02,1.52,12,1618571783.532,1,*,G0.82,S01-S02-S05
T,0025CB03,12.16,12.49,1.52,12,1618571783.575,1,0.54,G0.53,S01-S02-S04-S05
T,0025C9E6,13.02,0.18,1.52,12,1618571783.664,1,*,G0.79,S01-S02-S05
T,0025CB03,12.01,12.59,1.52,12,1618571783.713,1,0.26,G0.53,S05-S01-S02-S04
T,0025CB03,12.03,12.60,1.52,12,1618571783.848,1,0.25,G0.53,S01-S02-S04-S05
T,0025CB03,12.13,12.48,1.52,12,1618571783.985,1,0.55,G0.53,S01-S02-S04-S05
T,0025C9EB,7.69,4.24,1.52,12,1618571784.040,1,*,G1.00,S01-S04-S05
T,0025CB03,12.02,12.60,1.52,12,1618571784.120,1,0.25,G0.53,S01-S02-S04-S05
T,0025C9EB,8.71,5.16,1.52,12,1618571784.175,1,*,G0.80,S01-S02-S04
T,0025C9E6,13.36,0.07,1.52,12,1618571784.198,1,0.63,G0.64,S01-S02-S04-S05
T,0025CB03,11.97,12.53,1.52,12,1618571784.258,1,0.73,G0.53,S01-S02-S04-S05
T,0025CB03,12.14,12.46,1.52,12,1618571784.393,1,0.07,G0.53,S01-S02-S04-S05
T,0025C9EB,7.96,4.38,1.52,12,1618571784.444,1,*,G0.97,S01-S04-S05
T,0025C9E6,13.20,0.01,1.52,12,1618571784.465,1,*,G0.82,S01-S02-S05
T,0025CB03,12.04,12.59,1.52,12,1618571784.530,1,0.25,G0.53,S01-S02-S04-S05
T,0025CB03,12.03,12.61,1.52,12,1618571784.665,1,0.25,G0.53,S01-S02-S04-S05
T,0025C9EB,8.11,3.50,1.52,12,1618571784.714,1,*,G0.72,S01-S02-S05
T,0025C9E6,13.35,0.06,1.52,12,1618571784.731,1,0.63,G0.65,S01-S02-S04-S05
